industry,series_id,date,openings_thousands,avg_hourly_earnings,year,month,log_openings,log_wage,post_chatgpt,residual,fitted
Leisure and Hospitality,JTS700000000000000JOL,2018-05-01,975,15.87,2018,5,6.882437470997847,2.7644305345383176,False,0.18585546449248103,6.696582006505366
Leisure and Hospitality,JTS700000000000000JOL,2018-06-01,1061,15.93,2018,6,6.966967138613983,2.768204123921957,False,0.26358436371736005,6.703382774896623
Leisure and Hospitality,JTS700000000000000JOL,2018-07-01,1019,16.0,2018,7,6.926577033222725,2.772588722239781,False,0.21529232872626292,6.711284704496462
Leisure and Hospitality,JTS700000000000000JOL,2018-08-01,1007,16.04,2018,8,6.914730892718563,2.7750856024383683,False,0.19894630702015448,6.715784585698408
Leisure and Hospitality,JTS700000000000000JOL,2018-09-01,1073,16.07,2018,9,6.9782137426306985,2.776954179749421,False,0.2590616041273339,6.719152138503365
Leisure and Hospitality,JTS700000000000000JOL,2018-10-01,1015,16.14,2018,10,6.922643891475888,2.7813006628418027,False,0.19565851468858142,6.726985376787306
Leisure and Hospitality,JTS700000000000000JOL,2018-11-01,1023,16.21,2018,11,6.930494765951626,2.785628335747585,False,0.19571005062660074,6.734784715325025
Leisure and Hospitality,JTS700000000000000JOL,2018-12-01,1075,16.29,2018,12,6.980075940561763,2.790551422613954,False,0.23641883077501546,6.7436571097867475
Leisure and Hospitality,JTS700000000000000JOL,2019-01-01,1121,16.28,2019,1,7.02197642307216,2.7899373605743945,False,0.279425976805034,6.742550446267126
Leisure and Hospitality,JTS700000000000000JOL,2019-02-01,998,16.4,2019,2,6.905753276311464,2.797281334830153,False,0.14996750873426112,6.755785767577203
Leisure and Hospitality,JTS700000000000000JOL,2019-03-01,1005,16.43,2019,3,6.912742820493176,2.799108932049177,False,0.15366335449372936,6.759079465999447
Leisure and Hospitality,JTS700000000000000JOL,2019-04-01,1024,16.47,2019,4,6.931471805599453,2.8015405441895487,False,0.16801008458950317,6.76346172100995
Leisure and Hospitality,JTS700000000000000JOL,2019-05-01,1018,16.51,2019,5,6.925595197110468,2.803966257932037,False,0.15776185119143804,6.76783334591903
Leisure and Hospitality,JTS700000000000000JOL,2019-06-01,945,16.55,2019,6,6.851184927493743,2.806386101823072,False,0.07899053532064126,6.772194392173102
Leisure and Hospitality,JTS700000000000000JOL,2019-07-01,959,16.6,2019,7,6.865891074883439,2.8094026953624978,False,0.08826017335371716,6.777630901529722
Leisure and Hospitality,JTS700000000000000JOL,2019-08-01,961,16.6,2019,8,6.8679744089702925,2.8094026953624978,False,0.09034350744057029,6.777630901529722
Leisure and Hospitality,JTS700000000000000JOL,2019-09-01,1025,16.67,2019,9,6.932447891572509,2.813610696762703,False,0.1472333236701422,6.785214567902367
Leisure and Hospitality,JTS700000000000000JOL,2019-10-01,993,16.68,2019,10,6.900730664045173,2.8142103969306005,False,0.11443531560962139,6.7862953484355515
Leisure and Hospitality,JTS700000000000000JOL,2019-11-01,973,16.75,2019,11,6.880384082186005,2.818398258271076,False,0.0865413638233612,6.793842718362644
Leisure and Hospitality,JTS700000000000000JOL,2019-12-01,926,16.76,2019,12,6.83087423464618,2.818995095053937,False,0.035955896147117805,6.794918338499063
Leisure and Hospitality,JTS700000000000000JOL,2020-01-01,913,16.84,2020,1,6.816735880594968,2.823757008814181,False,0.013235614045394861,6.803500266549573
Leisure and Hospitality,JTS700000000000000JOL,2020-02-01,940,16.92,2020,2,6.84587987526405,2.828496354178077,False,0.0338383534613822,6.8120415218026675
Leisure and Hospitality,JTS700000000000000JOL,2020-03-01,653,16.95,2020,3,6.481577129276431,2.830267833826459,False,-0.33365695577933074,6.815234085055762
Leisure and Hospitality,JTS700000000000000JOL,2020-04-01,321,18.02,2020,4,5.771441123130016,2.891482252180192,False,-1.1541136775908285,6.925554800720844
Leisure and Hospitality,JTS700000000000000JOL,2020-05-01,710,17.43,2020,5,6.565264970035361,2.858192859531929,False,-0.3002956378175483,6.86556060785291
Leisure and Hospitality,JTS700000000000000JOL,2020-06-01,876,17.02,2020,6,6.775366090936392,2.834389123145228,False,-0.04729538785007836,6.82266147878647
Leisure and Hospitality,JTS700000000000000JOL,2020-07-01,781,16.89,2020,7,6.660575149839686,2.826721730819709,False,-0.14826814311108283,6.808843292950769
Leisure and Hospitality,JTS700000000000000JOL,2020-08-01,763,17.01,2020,8,6.637258031284457,2.8338014064077703,False,-0.18434426352496303,6.82160229480942
Leisure and Hospitality,JTS700000000000000JOL,2020-09-01,801,17.06,2020,9,6.68586094706836,2.836736542063533,False,-0.14103105357877155,6.826892000647131
Leisure and Hospitality,JTS700000000000000JOL,2020-10-01,821,17.06,2020,10,6.710523109452428,2.836736542063533,False,-0.1163688911947034,6.826892000647131
Leisure and Hospitality,JTS700000000000000JOL,2020-11-01,845,16.99,2020,11,6.739336627357174,2.8326249356838407,False,-0.08014543016643394,6.819482057523608
Leisure and Hospitality,JTS700000000000000JOL,2020-12-01,799,17.08,2020,12,6.683360945766275,2.837908188360424,False,-0.14564259757709586,6.8290035433433705
Leisure and Hospitality,JTS700000000000000JOL,2021-01-01,741,17.2,2021,1,6.608000625296087,2.8449093838194077,False,-0.2336204829007622,6.841621108196849
Leisure and Hospitality,JTS700000000000000JOL,2021-02-01,960,17.46,2021,2,6.866933284461882,2.859912550411456,False,-0.0017265528479795123,6.8686598373098615
Leisure and Hospitality,JTS700000000000000JOL,2021-03-01,1101,17.54,2021,3,7.00397413672268,2.864483986944037,False,0.12707564970487528,6.8768984870178045
Leisure and Hospitality,JTS700000000000000JOL,2021-04-01,1308,17.81,2021,4,7.176254532017144,2.87976009730157,False,0.27182541622682965,6.904429115790315
Leisure and Hospitality,JTS700000000000000JOL,2021-05-01,1432,18.11,2021,5,7.266827347520591,2.896464271895322,False,0.3322939434704679,6.934533404050123
Leisure and Hospitality,JTS700000000000000JOL,2021-06-01,1576,18.41,2021,6,7.362645270417825,2.9128939952449864,False,0.39850219454757063,6.964143075870254
Leisure and Hospitality,JTS700000000000000JOL,2021-07-01,1787,18.56,2021,7,7.488293515159428,2.9210087273580543,False,0.5095260570240194,6.978767458135408
Leisure and Hospitality,JTS700000000000000JOL,2021-08-01,1736,18.78,2021,8,7.459338895220296,2.932792473780117,False,0.4593347517833033,7.000004143436993
Leisure and Hospitality,JTS700000000000000JOL,2021-09-01,1573,18.97,2021,9,7.360739903058278,2.9428587839469227,False,0.34259424048944354,7.018145662568834
Leisure and Hospitality,JTS700000000000000JOL,2021-10-01,1614,19.24,2021,10,7.3864708488298945,2.9569914452375605,False,0.342855283095016,7.0436155657348785
Leisure and Hospitality,JTS700000000000000JOL,2021-11-01,1597,19.34,2021,11,7.375882148215011,2.962175490025148,False,0.3229238892652493,7.0529582589497615
Leisure and Hospitality,JTS700000000000000JOL,2021-12-01,1690,19.44,2021,12,7.432483807917119,2.967332799032293,False,0.37023103901569065,7.062252768901429
Leisure and Hospitality,JTS700000000000000JOL,2022-01-01,1607,19.46,2022,1,7.382124365737512,2.968361076757859,False,0.31801843319199996,7.0641059325455124
Leisure and Hospitality,JTS700000000000000JOL,2022-02-01,1699,19.53,2022,2,7.4377951216719325,2.9719517448885875,False,0.36721808168880976,7.070577039983123
Leisure and Hospitality,JTS700000000000000JOL,2022-03-01,1656,19.67,2022,3,7.412160334945205,2.979094632400968,False,0.3287103724795495,7.0834499624656555
Leisure and Hospitality,JTS700000000000000JOL,2022-04-01,1625,19.84,2022,4,7.393263094763838,2.987700101856727,False,0.2943043424652485,7.098958752298589
Leisure and Hospitality,JTS700000000000000JOL,2022-05-01,1606,20.04,2022,5,7.381501894506707,2.997730276216664,False,0.2644667470810802,7.117035147425627
Leisure and Hospitality,JTS700000000000000JOL,2022-06-01,1576,20.07,2022,6,7.362645270417825,2.9992261628082466,False,0.24291423395534562,7.119731036462479
Leisure and Hospitality,JTS700000000000000JOL,2022-07-01,1622,20.21,2022,7,7.3914152346753585,3.00617753141553,False,0.2591564313855308,7.132258803289828
Leisure and Hospitality,JTS700000000000000JOL,2022-08-01,1467,20.33,2022,8,7.290974778142981,3.012097627640255,False,0.14804676864516875,7.142928009497812
Leisure and Hospitality,JTS700000000000000JOL,2022-09-01,1497,20.43,2022,9,7.311218384419629,3.0170044088295307,False,0.15944736657556824,7.1517710178440606
Leisure and Hospitality,JTS700000000000000JOL,2022-10-01,1547,20.51,2022,10,7.344072850573066,3.0209125720842893,False,0.18525853510736479,7.158814315465701
Leisure and Hospitality,JTS700000000000000JOL,2022-11-01,1530,20.62,2022,11,7.333023014386481,3.026261478588814,True,0.16456889167479982,7.168454122711681
Leisure and Hospitality,JTS700000000000000JOL,2022-12-01,1719,20.79,2022,12,7.449498005382849,3.034472101869921,True,0.26624668520056805,7.183251320182281
Leisure and Hospitality,JTS700000000000000JOL,2023-01-01,1523,20.8,2023,1,7.328437352895162,3.0349529867072724,True,0.14431938134485645,7.184117971550306
Leisure and Hospitality,JTS700000000000000JOL,2023-02-01,1422,20.83,2023,2,7.259819610363186,3.0363942552728806,True,0.073104182463549,7.186715427899637
Leisure and Hospitality,JTS700000000000000JOL,2023-03-01,1447,20.87,2023,3,7.277247726631484,3.038312721089109,True,0.08707483678877548,7.190172889842708
Leisure and Hospitality,JTS700000000000000JOL,2023-04-01,1378,20.99,2023,4,7.228388451573604,3.0440461338325417,True,0.027882796770134277,7.20050565480347
Leisure and Hospitality,JTS700000000000000JOL,2023-05-01,1310,21.08,2023,5,7.177782416195197,3.048324723673161,True,-0.030434119573061302,7.208216535768258
Leisure and Hospitality,JTS700000000000000JOL,2023-06-01,1208,21.23,2023,6,7.0967213784947605,3.055415275715165,True,-0.12427376069359841,7.220995139188359
Leisure and Hospitality,JTS700000000000000JOL,2023-07-01,1206,21.28,2023,7,7.095064377287131,3.0577676644734435,True,-0.13017024041486902,7.225234617702
Leisure and Hospitality,JTS700000000000000JOL,2023-08-01,1185,21.3,2023,8,7.077498053569231,3.05870707271538,True,-0.14942956706147825,7.226927620630709
Leisure and Hospitality,JTS700000000000000JOL,2023-09-01,1333,21.36,2023,9,7.195187320178709,3.061520014091994,True,-0.036809787578363284,7.231997107757072
Leisure and Hospitality,JTS700000000000000JOL,2023-10-01,1150,21.47,2023,10,7.047517221357296,3.0666566118906897,True,-0.19373707058081635,7.241254291938112
Leisure and Hospitality,JTS700000000000000JOL,2023-11-01,1160,21.54,2023,11,7.05617528410041,3.069911671728242,True,-0.19094528151094714,7.2471205656113575
Leisure and Hospitality,JTS700000000000000JOL,2023-12-01,957,21.58,2023,12,6.863803391452954,3.0717669598299886,True,-0.3866607771306114,7.250464168583566
Leisure and Hospitality,JTS700000000000000JOL,2024-01-01,1106,21.67,2024,1,7.00850518208228,3.075928815548268,True,-0.2494594890574353,7.257964671139716
Leisure and Hospitality,JTS700000000000000JOL,2024-02-01,1105,21.75,2024,2,7.007600613951853,3.079613757534693,True,-0.25700506510821164,7.264605679060065
Leisure and Hospitality,JTS700000000000000JOL,2024-03-01,1211,21.79,2024,3,7.099201743553092,3.0814511489565284,True,-0.16871528505606825,7.26791702860916
Leisure and Hospitality,JTS700000000000000JOL,2024-04-01,1060,21.85,2024,4,6.966024187106113,3.084200921541599,True,-0.3068484857394793,7.272872672845592
Leisure and Hospitality,JTS700000000000000JOL,2024-05-01,825,21.92,2024,5,6.715383386334681,3.087399462079815,True,-0.5632537010189562,7.278637087353637
Leisure and Hospitality,JTS700000000000000JOL,2024-06-01,906,21.98,2024,6,6.80903930604298,3.090132948975475,True,-0.47452407545344855,7.283563381496428
Leisure and Hospitality,JTS700000000000000JOL,2024-07-01,961,22.07,2024,7,6.8679744089702925,3.094219220268645,True,-0.42295325671910433,7.290927665689397
Leisure and Hospitality,JTS700000000000000JOL,2024-08-01,939,22.14,2024,8,6.844815479208263,3.0973859272804907,True,-0.4518192305606785,7.2966347097689415
Leisure and Hospitality,JTS700000000000000JOL,2024-09-01,887,22.18,2024,9,6.787844982309579,3.099190981922221,True,-0.5120427996153296,7.299887781924909
Leisure and Hospitality,JTS700000000000000JOL,2024-10-01,1007,22.25,2024,10,6.914730892718563,3.1023420086122493,True,-0.3908356741866257,7.305566566905188
Leisure and Hospitality,JTS700000000000000JOL,2024-11-01,1012,22.34,2024,11,6.919683849847411,3.1063787936410545,True,-0.3931578170316161,7.312841666879027
Leisure and Hospitality,JTS700000000000000JOL,2024-12-01,1222,22.42,2024,12,7.108244139731541,3.109953417644014,True,-0.21103971983420422,7.319283859565745
Manufacturing,JTS300000000000000JOL,2012-01-01,250,23.84,2012,1,5.521460917862246,3.171364842197149,False,-0.12879679015943335,5.650257708021679
Manufacturing,JTS300000000000000JOL,2012-02-01,243,23.83,2012,2,5.493061443340548,3.170945291110651,False,-0.15606348933574665,5.649124932676295
Manufacturing,JTS300000000000000JOL,2012-03-01,316,23.86,2012,3,5.755742213586912,3.17220341666977,False,0.10322037964964714,5.652521833937265
Manufacturing,JTS300000000000000JOL,2012-04-01,248,23.9,2012,4,5.513428746164983,3.173878458937465,False,-0.1436156516372895,5.657044397802273
Manufacturing,JTS300000000000000JOL,2012-05-01,302,23.81,2012,5,5.71042701737487,3.170105660498771,False,0.06356906215847147,5.646857955216398
Manufacturing,JTS300000000000000JOL,2012-06-01,301,23.89,2012,6,5.707110264748875,3.173459961337718,False,0.05119579790936779,5.655914466839508
Manufacturing,JTS300000000000000JOL,2012-07-01,257,23.9,2012,7,5.54907608489522,3.173878458937465,False,-0.10796831290705278,5.657044397802273
Manufacturing,JTS300000000000000JOL,2012-08-01,267,23.88,2012,8,5.58724865840025,3.1730412885244013,False,-0.0675354044051133,5.654784062805363
Manufacturing,JTS300000000000000JOL,2012-09-01,248,23.92,2012,9,5.513428746164983,3.1747149290824312,False,-0.14587409593134648,5.65930284209633
Manufacturing,JTS300000000000000JOL,2012-10-01,270,23.89,2012,10,5.598421958998375,3.173459961337718,False,-0.05749250784113258,5.655914466839508
Manufacturing,JTS300000000000000JOL,2012-11-01,254,23.97,2012,11,5.537334267018537,3.176803048446293,False,-0.12760643470853328,5.66494070172707
Manufacturing,JTS300000000000000JOL,2012-12-01,250,24.06,2012,12,5.521460917862246,3.180550710546533,False,-0.15359835909106057,5.675059276953307
Manufacturing,JTS300000000000000JOL,2013-01-01,252,24.03,2013,1,5.529429087511423,3.1793030497483774,False,-0.14226154272153124,5.671690630232955
Manufacturing,JTS300000000000000JOL,2013-02-01,283,24.12,2013,2,5.645446897643238,3.1830413718589847,False,-0.03633709012418063,5.681783987767418
Manufacturing,JTS300000000000000JOL,2013-03-01,257,24.14,2013,3,5.54907608489522,3.1838702156693857,False,-0.13494575629174932,5.684021841186969
Manufacturing,JTS300000000000000JOL,2013-04-01,243,24.21,2013,4,5.493061443340548,3.1867657709499677,False,-0.1987783102260945,5.691839753566643
Manufacturing,JTS300000000000000JOL,2013-05-01,248,24.3,2013,5,5.513428746164983,3.190476350346503,False,-0.1884294604405179,5.701858206605501
Manufacturing,JTS300000000000000JOL,2013-06-01,216,24.35,2013,6,5.375278407684165,3.192531849528599,False,-0.33212958504004053,5.707407992724206
Manufacturing,JTS300000000000000JOL,2013-07-01,221,24.35,2013,7,5.3981627015177525,3.192531849528599,False,-0.3092452912064534,5.707407992724206
Manufacturing,JTS300000000000000JOL,2013-08-01,285,24.4,2013,8,5.652489180268651,3.194583132299156,False,-0.060457214389614045,5.712946394658265
Manufacturing,JTS300000000000000JOL,2013-09-01,268,24.47,2013,9,5.5909869805108565,3.19744787745458,False,-0.12969414011357827,5.720681120624435
Manufacturing,JTS300000000000000JOL,2013-10-01,294,24.46,2013,10,5.683579767338681,3.1970391302590264,False,-0.03599774812176104,5.7195775154604425
Manufacturing,JTS300000000000000JOL,2013-11-01,316,24.57,2013,11,5.755742213586912,3.201526186533088,False,0.024049780815609267,5.731692432771303
Manufacturing,JTS300000000000000JOL,2013-12-01,294,24.59,2013,12,5.683579767338681,3.202339856228101,False,-0.0503095491959078,5.733889316534589
